"type_logement" "annee_construction" "surface_habitable" "type_energie_chauffage" "conso_energie" "classe_conso_energie" "emission_ges"
1 2016 105 2 43.62 "A" 2.07
1 2004 44 2 233.62 "B" 10.33
1 2015 82 1 49.28 "C" 11.53
2 1947 75 2 357 "B" 8
2 1964 80 1 328.61 "F" 76.89
1 2019 68 1 52.38 "C" 12.26
1 1989 62 2 203 "B" 8
1 1998 70 2 169.34 "B" 6.88
1 2006 61 2 167 "B" 6
2 1989 171 2 163 "B" 7
1 2020 34 2 49.97 "A" 3.28
1 2001 56 2 217 "B" 9
1 1999 43 2 287 "C" 14
2 1985 89 2 289 "C" 16.14
1 2019 69 1 61.99 "C" 14.51
1 1947 42 2 393 "C" 12
1 2008 79 2 155 "B" 6
2 1987 135 2 115.37 "C" 18.82
1 1948 88 2 135 "A" 5
2 1947 146 1 190 "E" 44
2 1948 240 2 223 "D" 30
1 1983 19 2 180 "B" 8
1 2004 36 2 179.18 "A" 5.84
2 1986 128 1 143.17 "D" 25.57
1 1968 56 1 271.11 "F" 63.44
1 1947 43 1 69 "C" 16
1 1983 20 2 319 "C" 14
1 1947 27 1 266 "F" 62
1 1988 63 2 217.69 "B" 9.93
2 1969 216 1 286.58 "F" 67.06
1 2004 54 2 112 "A" 4
1 2001 63 2 185 "B" 7
1 1978 23 2 378.1 "C" 18.96
1 2015 66 1 37.87 "B" 8.86
2 1975 252 3 170 "E" 38
1 1948 70 1 158 "E" 37
1 2000 104 1 109.95 "D" 25.73
1 2010 69 1 124.32 "D" 29.09
2 1989 110 1 166 "E" 38
2 1947 116 2 104.72 "A" 3.4
2 1979 143 1 225.94 "E" 52.87
1 2013 1128 1 47.15 "C" 11.03
1 1989 20 2 203 "B" 6
2 1970 81 1 288.91 "F" 67.6
2 2010 150 2 106.63 "A" 4.03
1 2012 41 2 241.09 "C" 11.36
2 1947 96 2 319 "F" 59
1 2019 42 1 62.22 "C" 14.23
1 2001 42 2 246 "C" 11
1 1994 50 2 209.45 "B" 7.89
2 1970 134 2 160.62 "B" 6.02
1 2000 103 2 122.89 "A" 4.65
1 2018 69 1 50.78 "C" 11.88
2 1983 110 1 120 "D" 23
1 2017 40 2 48.37 "C" 10.99
1 2014 62 1 40.89 "B" 9.57
1 2018 40 1 122.99 "A" 2.79
1 2006 63 2 110 "A" 4
2 1965 78 3 591.35 "G" 143.36
1 1975 76 2 146 "B" 7
2 1970 164 1 227.78 "E" 53.3
1 2001 71 2 234.9 "C" 13.16
1 2017 40 1 57.01 "C" 13.34
1 1948 69 1 173 "D" 27
1 1989 74 2 147 "B" 7
1 2002 53 2 230 "B" 10
1 1948 94 2 219 "E" 46
1 2018 62 1 51.68 "C" 12.09
1 2001 52 2 191 "B" 7
1 2011 60 2 125 "A" 5
1 2006 43 2 147.73 "A" 4.3
1 1983 67 2 320 "C" 16
1 2006 42 2 208 "B" 10
1 1998 69 2 187 "B" 8
2 1981 85 2 339.48 "C" 18.8
1 2015 62 1 35.65 "B" 8.34
2 2006 85 1 120 "D" 28
1 2019 43 1 60.5 "C" 14.16
2 1989 150 1 91 "D" 21
1 1968 37 1 202.54 "E" 47.39
1 2004 42 2 238.21 "B" 10.3
1 2006 53 2 214 "B" 9
1 1962 68 2 197 "B" 10
2 1989 196 1 207 "E" 48
2 1930 136 1 217.1 "E" 50.8
1 2020 64 1 60.66 "C" 14.19
1 2015 61 2 55.15 "C" 11.46
1 1983 31 2 249 "B" 9
1 2018 68 1 59.51 "C" 13.92
2 1992 99 2 223 "B" 9
1 1972 77 1 159.95 "E" 37.43
2 1947 120 3 226 "E" 39
1 1947 55 1 96 "D" 22
2 2013 197 2 119.2 "A" 5.12
1 1990 48 2 307.18 "C" 15.42
1 2013 56 1 38.24 "B" 8.95
1 2005 60 2 163 "B" 7
2 2010 105 2 206.89 "B" 10.53
1 1996 40 2 217.01 "B" 8.66
2 1972 131 2 323.51 "C" 15.25
1 2008 63 2 250.72 "C" 12.69
1 1978 96 1 101 "D" 23
1 1983 90 1 136 "D" 32
1 2019 63 1 67.42 "C" 15.48
1 1974 54 1 205.28 "E" 48.03
1 1999 21 2 316 "C" 17
2 1966 104 2 228.36 "B" 7.7
1 1994 29 2 309.35 "C" 14.9
2 1990 126 2 178 "A" 5
1 1999 40 2 287.29 "C" 13.76
1 2016 54 1 52.92 "C" 12.38
1 1977 39 1 211.93 "E" 49.59
1 1993 58 2 252 "C" 12
1 1976 30 1 328.48 "F" 76.86
1 2016 41 1 50.09 "C" 11.72
2 1970 131 2 559.52 "D" 29.98
2 2015 130 2 43.51 "A" 2.21
1 1999 32 2 297.08 "C" 13.7
1 1947 50 2 88 "C" 20
2 1969 163 2 284 "E" 40
2 2003 82 2 217.37 "B" 10.54
2 2001 158 2 85 "A" 2
1 1947 72 1 117 "D" 27
2 1991 115 2 266.55 "C" 15.08
1 1970 84 1 143 "D" 33
1 2006 47 2 193 "B" 7
1 2015 183 1 72 "C" 15
1 1948 41 1 146 "D" 34
2 1948 90 3 314 "G" 94
2 2008 106 2 121 "C" 20
1 2013 46 2 139.75 "A" 4.55
2 2006 227 2 115 "A" 5
1 1948 65 2 122 "A" 5
1 1965 57 1 142.51 "D" 33.35
1 2015 23 1 50.2 "C" 11.75
2 1997 92 2 217.23 "C" 11.2
1 1974 110 3 260 "F" 78
1 1982 43 2 392.95 "C" 20.72
1 1983 70 2 189 "B" 8
